Word,POS,Pronunciation (IPA),Frequency
Wintertime,NN,W IH N T ER T AY M,1
pleasant,NN,P L EH Z AH N T,6
enjoyable,JJ,EH N JH OY AH B AH L,5
summertime,NN,S AH M ER T AY M,1
unbearably,RB,AH N B EH R AH B L IY,1
blazing,NN,B L EY Z IH NG,3
sunshine,NN,S AH N SH AY N,11
although,IN,AO L DH OW,379
heat,NN,HH IY T,69
dry,NN,D R AY,50
yearround,NN,,7
less,RBR,L EH S,319
mm,NN,,103
average,JJ,AE V ER IH JH,389
annual,JJ,AE N Y UW AH L,155
precipitation,NN,P R IH S IH P IH T EY SH AH N,10
ones,NNS,W AH N Z,77
rainfall,NN,R EY N F AO L,33
nt,NN,,442
occur,NN,AH K ER,71
seven,CD,S EH V AH N,225
earlier,RBR,ER L IY ER,196
least,JJS,L IY S T,229
humid,NN,HH Y UW M AH D,13
planet,NN,P L AE N AH T,135
relative,NN,R EH L AH T IH V,72
humidity,NN,HH Y UW M IH D AH T IY,11
maximum,NN,M AE K S AH M AH M,86
mean,NN,M IY N,70
42,CD,,70
winter,NN,W IH N T ER,62
minimum,NN,M IH N AH M AH M,54
16,CD,,496
clear,JJ,K L IH R,129
bright,NN,B R AY T,29
sunny,NN,S AH N IY,6
seasons,NNS,S IY Z AH N Z,185
seasonal,JJ,S IY Z AH N AH L,10
variation,NN,V EH R IY EY SH AH N,39
4000,CD,,45
hours,NNS,AW ER Z,194
close,RB,K L OW S,230
theoretical,JJ,TH IY ER EH T IH K AH L,39
duration,NN,D UH R EY SH AH N,31
places,NNS,P L EY S AH Z,127
highest,JJS,HH AY AH S T,150
record,NN,R AH K AO R D,446
temperature,NN,T EH M P R AH CH ER,102
22,CD,,378
1973,CD,,190
lowest,JJS,L OW AH S T,34
January,NNP,JH AE N Y UW EH R IY,828
6,CD,,1227
1989,CD,,287
cite,NN,S AY T,127
web,NN,W EH B,136
Education,NN,EH JH AH K EY SH AH N,210
1999,CD,,443
South,NNP,S AW TH,964
Valley,NNP,V AE L IY,150
inaugurated,VBN,IH N AO G ER EY T IH D,14
three,CD,TH R IY,1176
branches,NNS,B R AE N CH AH Z,63
Qena,NN,,3
Hurghada,NNP,,1
Upper,IN,AH P ER,71
organized,VBN,AO R G AH N AY Z D,104
departmental,NN,D IH P AA R T M EH N AH L,8
basis,NN,B EY S AH S,141
grew,VBD,G R UW,127
steadily,RB,S T EH D AH L IY,15
firmly,RB,F ER M L IY,13
major,JJ,M EY JH ER,481
institution,NN,IH N S T IH T UW SH AH N,51
higher,JJR,HH AY ER,187
education,NN,EH JH AH K EY SH AH N,331
Assiut,NN,,1
Faculty,NN,F AE K AH L T IY,47
five,CD,F AY V,490
faculties,NNS,F AE K AH L T IY Z,4
namely,RB,N EY M L IY,24
Science,NN,S AY AH N S,165
Engineering,VBG,EH N JH AH N IH R IH NG,113
Arts,NNS,AA R T S,203
Social,NNP,S OW SH AH L,112
Works,NNS,W ER K S,122
Institute,NNP,IH N S T AH T UW T,259
Energy,NNP,EH N ER JH IY,42
departments,NNS,D IH P AA R T M AH N T S,47
department,NN,D IH P AA R T M AH N T,158
educational,JJ,EH JH AH K EY SH AH N AH L,83
programme,NN,P R OW G R AE M,79
Chemistry,NN,K EH M AH S T R IY,27
Geology,NN,JH IY AA L AH JH IY,17
Physics,NNS,F IH Z IH K S,27
Zoology,NN,Z OW AA L AH JH IY,2
Except,IN,IH K S EH P T,5
Botany,NN,B AA T AH N IY,3
Department,NNP,D IH P AA R T M AH N T,270
programmes,NNS,,45
Environmental,JJ,IH N V AY R AH N M EH N T AH L,37
Sciences,NNS,S AY AH N S AH Z,104
Microbiology,NN,M AY K R OW B AY AA L AH JH IY,4
Mathematics,NNS,M AE TH AH M AE T IH K S,11
Computer,NNP,K AH M P Y UW T ER,37
awards,NNS,AH W AO R D Z,93
following,VBG,F AA L OW IH NG,783
degrees,NNS,D IH G R IY Z,87
Bachelor,NN,B AE CH AH L ER,46
nine,CD,N AY N,131
Higher,JJR,HH AY ER,35
Diploma,NN,D IH P L OW M AH,9
Philosophy,NN,F AH L AA S AH F IY,32
Doctor,NN,D AA K T ER,436
100,CD,,427
academic,JJ,AE K AH D EH M IH K,158
employed,VBN,EH M P L OY D,73
Transport,NN,T R AE N S P AO R T,56
served,VBD,S ER V D,569
International,NNP,IH N T ER N AE SH AH N AH L,566
Airport,NN,EH R P AO R T,142
Train,NN,T R EY N,33
bus,NN,B AH S,94
service,NN,S ER V AH S,565
Taxi,NN,T AE K S IY,15
rickshaw,NN,,2
transport,NN,T R AE N S P AO R T,108
gallery,NN,G AE L ER IY,206
File,NN,F AY L,249
FECAMERON,NN,,1
37,CD,,73
11433,CD,,1
Michael,NNP,M AY K AH L,355
Coptic,JJ,K AA P T IH K,32
Orthodox,NN,AO R TH AH D AA K S,44
built,NN,B IH L T,656
style,NN,S T AY L,779
AswanIMG0764jpgThe,NN,,1
ElTabia,NN,,1
Mosque,NN,M AA S K,13
Railway,NN,R EY L W EY,178
Station,NN,S T EY SH AH N,253
Street,NNP,S T R IY T,365
Oct,NN,AO K T OW B ER,37
2004,CD,,662
AjpgA,NN,,1
along,IN,AH L AO NG,593
connecting,VBG,K AH N EH K T IH NG,60
railway,NN,R EY L W EY,211
station,NN,S T EY SH AH N,568
LotusTower,JJR,,1
near,IN,N IH R,521
AssuanjpgAswan,NNP,,1
NEjpgThe,NN,,1
northeast,NN,N AO R TH IY S T,89
neighbourhood,NN,,17
N517266177,NN,,1
30554,CD,,1
627,CD,,4
jpgThe,NN,,9
34,CD,,112
11472,CD,,1
Museum,NN,M Y UW Z IY AH M,284
See,VB,S IY,237
Wadi,NN,,6
Allaqi,NN,,1
national,JJ,N AE SH AH N AH L,468
park,NN,P AA R K,116
Abu,NN,AE B UW,36
Simbel,NN,,1
Dam,NN,D AE M,41
Philae,NN,,1
Kitchener,NNP,K IH CH AH N ER,2
Island,NN,AY L AH N D,350
Temple,NN,T EH M P AH L,110
Kalabsha,NNP,,1
Nubia,NN,,1
Banu,NN,,1
Kanz,NNP,K AE N Z,1
Diocese,JJ,D AY AH S IY Z,23
Syene,NN,,1
References,NNS,R EH F ER AH N S IH Z,521
3514,CD,,1
Government,NN,G AH V ER M AH N T,236
Barbados,NNS,B AA R B EY D OW S,20
GoB,NN,G AA B,1
structurally,RB,S T R AH K CH ER AH L IY,4
Monarch,NN,M AA N AA R K,15
Queen,NN,K W IY N,160
Elizabeth,NNS,IH L IH Z AH B AH TH,93
Head,NN,HH EH D,82
represented,VBN,R EH P R AH Z EH N T AH D,155
representative,NN,R EH P R AH Z EH N T AH T IH V,74
GovernorGeneral,JJ,,18
Sir,NNP,S ER,264
Elliott,NN,EH L IY AH T,16
Belgrave,VB,B EH L G R EY V,14
GCMG,NN,,2
KA,NNP,K AA,3
country,NN,K AH N T R IY,471
bicameral,JJ,,1
legislature,NN,L EH JH AH S L EY CH ER,32
mature,NN,M AH CH UH R,24
social,JJ,S OW SH AH L,247
democratic,JJ,D EH M AH K R AE T IH K,25
party,NN,P AA R T IY,303
system,NN,S IH S T AH M,623
based,VBN,B EY S T,686
universal,NN,Y UW N AH V ER S AH L,29
adult,NN,AH D AH L T,57
suffrage,NN,S AH F R IH JH,10
total,JJ,T OW T AH L,375
purity,NN,P Y UH R AH T IY,6
elections,NNS,IH L EH K SH AH N Z,124
Senate,NNP,S EH N AH T,100
21,CD,,400
behalf,NN,B IH HH AE F,38
12,CD,,628
advice,NN,AE D V AY S,38
Prime,NNP,P R AY M,133
Minister,NNP,M IH N AH S T ER,202
Leader,NN,L IY D ER,33
Opposition,NN,AA P AH Z IH SH AH N,64
GovernorGenerals,NNS,,1
sole,NN,S OW L,52
discretion,NN,D IH S K R EH SH AH N,9
Assembly,RB,AH S EH M B L IY,131
30,CD,,880
Houses,NNS,HH AW S AH Z,14
debate,NN,D AH B EY T,45
legislation,NN,L EH JH AH S L EY SH AH N,49
may,MD,M EY,970
ultimately,RB,AH L T AH M AH T L IY,63
override,NN,OW V ER R AY D,3
rejection,NN,R IH JH EH K SH AH N,11
money,NN,M AH N IY,196
Bills,NNS,B IH L Z,15
except,IN,IH K S EH P T,109
amending,VBG,AH M EH N D IH NG,3
Constitution,NN,K AA N S T AH T UW SH AH N,35
Officers,NNS,AO F AH S ER Z,16
President,NNP,P R EH Z AH D EH N T,415
Deputy,NN,D EH P Y AH T IY,65
Speaker,NN,S P IY K ER,47
Chairman,NNP,CH EH R M AH N,115
Committees,NNS,K AH M IH T IY Z,8
Members,NNS,M EH M B ER Z,67
respective,NN,R IH S P EH K T IH V,43
evolved,VBN,IH V AA L V D,44
independent,JJ,IH N D IH P EH N D AH N T,192
Parliamentary,JJ,P AA R L AH M EH N T ER IY,28
democracy,NN,D IH M AA K R AH S IY,30
Constitutional,JJ,K AA N S T AH T UW SH AH N AH L,7
monarchy,NN,M AA N AA R K IY,11
meaning,NN,M IY N IH NG,171
real,JJ,R IY L,188
rests,NNS,R EH S T S,10
Parliament,NN,P AA R L AH M AH N T,175
maintains,NNS,M EY N T EY N Z,21
aspects,NNS,AE S P EH K T S,66
historic,NN,HH IH S T AO R IH K,122
MonarchyKingdom,NN,,1
government,NN,G AH V ER M AH N T,716
allows,NNS,AH L AW Z,83
stability,NN,S T AH B IH L IH T IY,43
Executive,NN,IH G Z EH K Y AH T IH V,90
authority,NN,AH TH AO R AH T IY,96
vested,JJ,V EH S T AH D,6
grants,NNS,G R AE N T S,17
functioning,VBG,F AH NG K SH AH N IH NG,19
Cabinet,NN,K AE B AH N AH T,41
collectively,RB,K AH L EH K T IH V L IY,20
Barbadian,JJ,,1
law,NN,L AO,390
rooted,VBN,R UW T AH D,9
historically,RB,HH IH S T AO R IH K AH L IY,33
English,JJ,IH NG G L IH SH,603
common,JJ,K AA M AH N,317
implemented,VBN,IH M P L AH M EH N T AH D,34
1966,CD,,160
supreme,NN,S AH P R IY M,11
Fundamental,JJ,F AH N D AH M EH N T AH L,7
Rights,NNS,R AY T S,55
Freedoms,NNS,F R IY D AH M Z,2
individual,JJ,IH N D AH V IH JH AH W AH L,199
set,NN,S EH T,513
protected,VBN,P R AH T EH K T AH D,56
strict,NN,S T R IH K T,19
legal,JJ,L IY G AH L,149
code,NN,K OW D,93
headed,VBN,HH EH D AH D,67
must,MD,M AH S T,243
MP,NN,,78
Ministers,NNS,M IH N AH S T ER Z,27
either,DT,IY DH ER,266
chamber,NN,CH EY M B ER,27
appoints,NNS,AH P OY N T S,6
Member,NNP,M EH M B ER,96
commands,NNS,K AH M AE N D Z,22
largest,JJS,L AA R JH AH S T,293
number,NN,N AH M B ER,952
opposition,NN,AA P AH Z IH SH AH N,91
simultaneous,JJ,S AY M AH L T EY N IY AH S,8
acting,VBG,AE K T IH NG,84
nonpolitical,JJ,N AA N P AH L IH T IH K AH L,1
Also,RB,AO L S OW,152
constitutional,JJ,K AA N S T AH T UW SH AH N AH L,31
commissions,NNS,K AH M IH SH AH N Z,21
Judicial,JJ,JH UW D IH SH AH L,8
Legal,JJ,L IY G AH L,40
Service,NNP,S ER V AH S,193
Public,JJ,P AH B L IH K,149
Police,NNS,P AH L IY S,141
1961,CD,,134
achieved,VBN,AH CH IY V D,82
selfgovernance,NN,,1
Crown,NN,K R AW N,77
colony,NN,K AA L AH N IY,46
consisting,VBG,K AH N S IH S T IH NG,78
colonial,NN,K AH L OW N IY AH L,44
administration,NN,AE D M IH N IH S T R EY SH AH N,99
solely,RB,S OW L L IY,27
Council,NN,K AW N S AH L,424
mixture,NN,M IH K S CH ER,30
partially,RB,P AA R SH AH L IY,48
assembly,RB,AH S EH M B L IY,85
Legislative,JJ,L EH JH AH S L EY T IH V,54
Since,IN,S IH N S,215
Independence,NN,IH N D IH P EH N D AH N S,32
Labour,NN,L EY B AW R,66
Party,NNP,P AA R T IY,353
BLP,NN,,1
governed,VBN,G AH V ER N D,23
1976,CD,,207
1986,CD,,258
September,NNP,S EH P T EH M B ER,875
1994,CD,,310
2008,CD,,906
Democratic,JJ,D EH M AH K R AE T IH K,188
DLP,NN,,1
office,NN,AO F AH S,298
formed,VBN,F AO R M D,340
present,NN,P R EH Z AH N T,333
gains,NNS,G EY N Z,22
simple,NN,S IH M P AH L,120
majority,NN,M AH JH AO R AH T IY,160
general,JJ,JH EH N ER AH L,358
apart,RB,AH P AA R T,55
called,VBN,K AO L D,876
whenever,NN,W EH N EH V ER,18
chooses,NNS,CH UW Z AH Z,24
seek,NN,S IY K,48
mandate,NN,M AE N D EY T,13
loses,NNS,L UW Z AH Z,26
vote,NN,V OW T,118
confidence,NN,K AA N F AH D AH N S,17
Ministries,NNS,M IH N IH S T R IY Z,5
64,CD,,123
184456,CD,,1
amp,NN,AE M P,2591
x5b,NN,,1
edit,NN,EH D AH T,8
table,NN,T EY B AH L,98
x5d,NN,,1
Branch,NN,B R AE N CH,92
Courts,NNS,K AO R T S,17
include,NN,IH N K L UW D,634
Magistrates,NNS,M AE JH IH S T R EY T S,2
Court,NNP,K AO R T,324
High,JJ,HH AY,414
Appeal,NN,AH P IY L,23
Caribbean,NN,K ER IH B IY AH N,60
Justice,NN,JH AH S T AH S,120
appeals,NNS,AH P IY L Z,16
InterAmerican,JJ,IH N T ER AH M EH R AH K AH N,3
Human,NNP,HH Y UW M AH N,74
Perception,NN,P ER S EH P SH AH N,7
Transparency,NN,T R AE N S P EH R AH N S IY,2
ranked,NNS,R AE NG K T,82
17th,NNS,,85
179,CD,,18
corruption,NN,K ER AH P SH AH N,48
perceptions,NNS,P ER S EH P SH AH N Z,2
index,NN,IH N D EH K S,14
2010,CD,,933
scoring,VBG,S K AO R IH NG,83
better,RBR,B EH T ER,201
Americas,NN,AH M EH R AH K AH Z,28
Politics,NNS,P AA L AH T IH K S,52
Monarchy,NN,M AA N AA R K IY,5
4514,CD,,2
Genetically,RB,JH AH N EH T IH K L IY,5
modified,VBN,M AA D AH F AY D,74
maize,NN,M EY Z,20
corn,NN,K AO R N,44
genetically,RB,JH AH N EH T IH K L IY,12
crop,NN,K R AA P,18
Specific,JJ,S P AH S IH F IH K,4
strains,NNS,S T R EY N Z,9
engineered,VBN,EH N JH AH N IY R D,11
express,NN,IH K S P R EH S,53
agriculturallydesirable,JJ,,1
traits,NNS,T R EY T S,9
resistance,NN,R IH Z IH S T AH N S,88
pests,NNS,P EH S T S,5
herbicides,NNS,ER B AH S AY D Z,3
Maize,VB,M EY Z,1
use,NN,Y UW S,776
multiple,NN,M AH L T AH P AH L,130
countries,NNS,K AH N T R IY Z,269
GM,NNP,,25
controversy,NN,K AA N T R AH V ER S IY,60
respect,NN,R IH S P EH K T,72
possible,JJ,P AA S AH B AH L,229
health,NN,HH EH L TH,221
effects,NNS,IH F EH K T S,142
impact,NN,IH M P AE K T,123
insects,NNS,IH N S EH K T S,15
plants,NNS,P L AE N T S,82
via,IN,V AY AH,229
gene,NN,JH IY N,82
flow,NN,F L OW,91
One,CD,W AH N,559
strain,NN,S T R EY N,22
Starlink,NN,,8
approved,VBN,AH P R UW V D,102
animal,NN,AE N AH M AH L,57
feed,NN,F IY D,44
US,NN,AH S,1089
found,NN,F AW N D,757
food,NN,F UW D,178
series,NN,S IH R IY Z,953
recalls,NNS,R IY K AO L Z,8
starting,VBG,S T AA R T IH NG,142
2000,CD,,609
Marketed,VBN,M AA R K AH T AH D,1
Products,NNS,P R AA D AH K T S,31
Herbicide,NN,HH ER B IH S AY D,1
resistant,NN,R IH Z IH S T AH N T,16
Corn,NNP,K AO R N,9
varieties,NNS,V ER AY AH T IY Z,35
glyphosate,NN,,5
commercialized,VBN,K AH M ER SH AH L AY Z D,5
1996,CD,,356
Monsanto,NN,M AA N S AE N T OW,8
Roundup,NN,R AW N D AH P,4
Ready,JJ,R EH D IY,7
tolerate,NN,T AA L ER EY T,6
Bayer,NN,B EY ER,4
CropScience,NN,,2
developed,NN,D IH V EH L AH P T,339
Liberty,NN,L IH B ER T IY,42
Link,NN,L IH NG K,10
glufosinate,NN,,1
Pioneer,NN,P AY AH N IH R,18
HiBred,VBN,,1
markets,NNS,M AA R K AH T S,52
hybrids,NNS,HH AY B R AH D Z,8
tolerance,NN,T AA L ER AH N S,22
imidazoline,NN,,1
trademark,NN,T R EY D M AA R K,15
Clearfield,NN,,2
though,IN,DH OW,323
herbicidetolerance,NN,,1
trait,NN,T R EY T,10
bred,VBN,B R EH D,9
using,VBG,Y UW Z IH NG,432
tissue,NN,T IH S Y UW,36
selection,NN,S AH L EH K SH AH N,57
chemical,NN,K EH M AH K AH L,91
mutagen,NN,M Y UW T AH JH EH N,1
framework,NN,F R EY M W ER K,71
governing,VBG,G AH V ER N IH NG,41
approval,NN,AH P R UW V AH L,49
transgenic,NN,T R AE N Z JH EH N IH K,5
crops,NNS,K R AA P S,39
apply,VB,AH P L AY,50
2011,CD,,902
herbicideresistant,NN,,3
grown,NN,G R OW N,37
14,CD,,478
2012,CD,,874
authorised,VBN,,8
import,NN,IH M P AO R T,16
Union,NNP,Y UW N Y AH N,328
EU,NN,,18
reported,VBD,R IY P AO R T AH D,254
million,CD,M IH L Y AH N,404
tons,NNS,T AH N Z,37
imports,NNS,IH M P AO R T S,6
controversial,JJ,K AA N T R AH V ER SH AH L,54
Cultivation,NN,K AH L T IH V EY SH AH N,3
provides,VBZ,P R AH V AY D Z,189
substantial,JJ,S AH B S T AE N CH AH L,42
farmlevel,NN,,1
benefits,NNS,B EH N AH F IH T S,60
Insecticideproducing,VBG,,1
Bt,NN,B IY T IY,24
variant,NN,V EH R IY AH N T,48
altered,VBN,AO L T ER D,22
proteins,NNS,P R OW T IY N Z,32
Bacillus,NN,B AH S IH L AH S,3
thuringiensis,NN,,1
bacteria,NNS,B AE K T IH R IY AH,11
protein,NN,P R OW T IY N,71
poisonous,JJ,P OY Z AH N AH S,10
certain,JJ,S ER T AH N,170
insect,NN,IH N S EH K T,11
widely,RB,W AY D L IY,129
organic,JJ,AO R G AE N IH K,85
gardening,NN,G AA R D AH N IH NG,6
borer,NN,B AO R ER,3
causes,NNS,K AA Z AH Z,73
billion,CD,B IH L Y AH N,78
dollars,NNS,D AA L ER Z,35
damage,NN,D AE M AH JH,122
recent,JJ,R IY S AH N T,156
added,VBD,AE D AH D,263
ward,NN,W AO R D,52
ear,NN,IY R,13
worms,NNS,W ER M Z,3
root,NN,R UW T,31
latter,NN,L AE T ER,134
annually,RB,AE N Y UW AH L IY,44
damages,NNS,D AE M AH JH AH Z,23
expressed,VBN,IH K S P R EH S T,93
throughout,IN,TH R UW AW T,268
plant,NN,P L AE N T,167
vulnerable,JJ,V AH L N ER AH B AH L,19
eats,NNS,IY T S,7
Btcontaining,VBG,,1
human,NN,HH Y UW M AH N,278
gut,NN,G AH T,2
acidic,NN,AH S IH D IH K,8
alkaline,NN,AE L K AH L AY N,4
environment,NN,IH N V AY R AH N M AH N T,92
unfolds,NNS,AH N F OW L D Z,4
cut,NN,K AH T,133
forming,VBG,F AO R M IH NG,51
toxin,NN,T AA K S AH N,5
paralyzes,NNS,P EH R AH L AY Z IH Z,1
digestive,NN,D AY JH EH S T IH V,4
forms,NNS,F AO R M Z,197
holes,NNS,HH OW L Z,34
stops,NNS,S T AA P S,39
eating,VBG,IY T IH NG,19
starves,NNS,,1
producing,VBG,P R AH D UW S IH NG,59
Cry,NN,K R AY,17
killed,VBN,K IH L D,313
related,JJ,R IH L EY T IH D,196
species,NNS,S P IY SH IY Z,513
subsequent,NN,S AH B S AH K W AH N T,103
genes,NNS,JH IY N Z,17
introduced,VBN,IH N T R AH D UW S T,216
rootworm,NN,,1
larvae,NN,L AA R V IY,21
singly,RB,S IH NG G L IY,4
stacked,VBN,S T AE K T,4
event,NN,IH V EH N T,270
brackets,NNS,B R AE K AH T S,9
Cry1A105,NN,,1
MON89034,NN,,2
CryIAb,NN,,1
MON810,NN,,1
CryIF,NN,,1
1507,CD,,2
Cry2Ab,NN,,1
Cry3Bb1,NN,,1
MON863,NN,,1
MON88017,NN,,1
Cry34Ab1,NN,,1
59122,CD,,2
Cry35Ab1,NN,,1
mCry3A,NN,,1
MIR604,NN,,1
Vip3A,NN,,1
MIR162,NN,,1
cotton,NN,K AA T AH N,26
produce,NN,P R AH D UW S,132
VIP,NN,,12
Drought,NN,D R AW T,1
2013,CD,,712
launched,VBN,L AO N CH T,217
drought,NN,D R AW T,7
line,NN,L AY N,529
provided,VBN,P R AH V AY D AH D,226
insertion,NN,IH N S ER SH AH N,6
cspB,NN,,1
soil,NN,S OY L,26
microbe,NN,M AY K R OW B,1
subtilis,NNS,,1
USDA,NN,,8
China,NNP,CH AY N AH,297
Sweet,NN,S W IY T,48
sweet,NN,S W IY T,11
Attribute,NN,AE T R AH B Y UW T,1
brand,NN,B R AE N D,76
insectresistant,NN,,1
Syngenta,NN,,1
development,NN,D IH V EH L AH P M AH N T,409
2007,CD,,864
African,JJ,AE F R AH K AH N,213
researchers,NNS,R IY S ER CH ER Z,58
announced,VBD,AH N AW N S T,272
production,NN,P R AH D AH K SH AH N,412
streak,NN,S T R IY K,19
virus,NN,V AY R AH S,14
MSV,NN,,3
released,VBN,R IY L IY S T,938
product,NN,P R AA D AH K T,127
Refuges,NNS,R EH F Y UW JH IH Z,1
Protection,NN,P R AH T EH K SH AH N,34
Agency,NN,EY JH AH N S IY,51
EPA,NN,,10
regulations,NNS,R EH G Y AH L EY SH AH N Z,36
require,NN,R IY K W AY ER,59
farmers,NNS,F AA R M ER Z,31
nonBt,NN,,1
nearby,RB,N IH R B AY,147
refuge,NN,R EH F Y UW JH,26
location,NN,L OW K EY SH AH N,203
harbor,NN,HH AA R B ER,18
theory,NN,TH IH R IY,166
behind,IN,B IH HH AY N D,214
refuges,NNS,R EH F Y UW JH IH Z,6
slow,VB,S L OW,36
evolution,NN,EH V AH L UW SH AH N,48
pesticide,NN,P EH S T AH S AY D,1
seed,NN,S IY D,33
companies,NNS,K AH M P AH N IY Z,183
train,NN,T R EY N,129
maintain,NN,M EY N T EY N,59
collect,NN,K AH L EH K T,25
data,NNS,D EY T AH,232
report,NN,R IY P AO R T,182
study,NN,S T AH D IY,294
reports,NNS,R IH P AO R T S,106
2003,CD,,611
2005,CD,,728
farmer,NN,F AA R M ER,17
compliance,NN,K AH M P L AY AH N S,13
keeping,VBG,K IY P IH NG,39
keep,VB,K IY P,112
properly,RB,P R AA P ER L IY,33
raising,VBG,R EY Z IH NG,32
concerns,NNS,K AH N S ER N Z,58
develop,VB,D IH V EH L AH P,88
Unmodified,VBN,,1
economic,JJ,EH K AH N AA M IH K,164
19962007,CD,,1
overall,JJ,OW V ER AO L,146
reduction,NN,R AH D AH K SH AH N,31
pest,NN,P EH S T,2
populations,NNS,P AA P Y AH L EY SH AH N Z,32
females,NNS,F IY M EY L Z,159
eggs,NNS,EH G Z,37
unmodified,JJ,,2
alike,RB,AH L AY K,11
Resistance,NN,R IH Z IH S T AH N S,14
Resistant,JJ,R IH Z IH S T AH N T,3
areas,NNS,EH R IY AH Z,313
defective,JJ,D IH F EH K T IH V,5
absent,NN,AE B S AH N T,24
management,NN,M AE N AH JH M AH N T,149
November,NNP,N OW V EH M B ER,829
2009,CD,,794
scientists,NNS,S AY AH N T IH S T S,49
pink,NN,P IH NG K,20
bollworm,NN,,1
firstgeneration,NN,,2
parts,NNS,P AA R T S,208
Gujarat,NNP,G Y UW JH ER AE T,22
India,NNP,IH N D IY AH,399
generation,NN,JH EH N ER EY SH AH N,88
expresses,NNS,IH K S P R EH S AH Z,12
Cry1Ac,NN,,1
instance,NN,IH N S T AH N S,67
anywhere,RB,EH N IY W EH R,20
Bollworm,NN,,1
identified,VBN,AY D EH N T AH F AY D,102
Australia,NNP,AO S T R EY L Y AH,424
Spain,NNP,S P EY N,268
United,NNP,Y UW N AY T AH D,1481
States,NNS,S T EY T S,1100
Florida,NNP,F L AO R AH D AH,191
field,NN,F IY L D,326
trial,NN,T R AY AH L,153
demonstrated,VBN,D EH M AH N S T R EY T AH D,44
army,NN,AA R M IY,189
pesticidecontaining,VBG,,1
produced,VBN,P R AH D UW S T,424
DupontDow,NN,,1
armyworm,NN,,1
discovered,VBN,D IH S K AH V ER D,191
Puerto,NN,P W EH R T OW,97
Rico,NNP,R IY K OW,74
2006,CD,,903
prompting,VBG,P R AA M P T IH NG,18
Dow,NNP,D AW,5
DuPont,NN,D UW P AA N T,5
voluntarily,RB,V AA L AH N T EH R AH L IY,9
stop,NN,S T AA P,126
selling,VBG,S EH L IH NG,72
varies,NNS,V EH R IY Z,22
mostmarked,NNS,,1
differences,NNS,D IH F ER AH N S IH Z,72
occurring,VBG,AH K ER IH NG,22
USA,NNP,Y UW EH S EY,216
Europe,NNP,Y UH R AH P,322
Regulation,NN,R EH G Y AH L EY SH AH N,10
given,VBN,G IH V AH N,472
depending,VBG,D IH P EH N D IH NG,50
intended,VBN,IH N T EH N D AH D,130
uses,NNS,Y UW S AH Z,199
Controversy,NN,K AA N T R AH V ER S IY,16
Broad,NN,B R AO D,21
consensus,NN,K AH N S EH N S AH S,14
holds,VBZ,HH OW L D Z,90
poses,NNS,P OW Z AH Z,7
greater,JJR,G R EY T ER,88
risk,NN,R IH S K,96
conventional,JJ,K AH N V EH N SH AH N AH L,42
rigor,NN,R IH G ER,2
studies,NNS,S T AH D IY Z,206
regarding,VBG,R AH G AA R D IH NG,64
disputed,VBN,D IH S P Y UW T AH D,21
alleged,VBN,AH L EH JH D,57
lack,NN,L AE K,120
independence,NN,IH N D IH P EH N D AH N S,86
conflicts,NNS,K AH N F L IH K T S,31
involving,VBG,IH N V AA L V IH NG,71
bodies,NNS,B AA D IY Z,60
evaluate,NN,IH V AE L Y UW EY T,11
ecological,JJ,IY K AH L AA JH IH K AH L,21
overuse,NN,OW V ER Y UW Z,2
stalled,VBN,S T AO L D,6
research,NN,R IY S ER CH,354
outside,IN,AW T S AY D,237
industry,NN,IH N D AH S T R IY,218
proper,NN,P R AA P ER,56
issues,NNS,IH SH UW Z,158
arising,VBG,ER AY Z IH NG,12
misuse,NN,M IH S Y UW Z,4
Critics,NNS,K R IH T IH K S,41
objected,VBN,AH B JH EH K T AH D,16
grounds,NNS,G R AW N D Z,70
derive,NN,D ER AY V,11
organisms,NNS,AO R G AH N IH Z AH M Z,22
subject,NN,S AH B JH EH K T,180
intellectual,JJ,IH N T AH L EH K CH UW AH L,38
property,NN,P R AA P ER T IY,142
mostly,RB,M OW S T L IY,179
patents,NNS,P AE T AH N T S,16
lose,VB,L UW Z,42
patent,NN,P AE T AH N T,36
protection,NN,P R AH T EH K SH AH N,64
2015,CD,,31
claimed,NN,K L EY M D,153
pursue,NN,P ER S UW,46
retain,NN,R IH T EY N,26
seeds,NNS,S IY D Z,23
offpatent,NN,,1
nontarget,NN,,4
approving,VBG,AH P R UW V IH NG,7
commercial,JJ,K AH M ER SH AH L,156
release,NN,R IY L IY S,338
lab,NN,L AE B,12
pollen,NN,P AA L AH N,11
dusted,VBN,D AH S T IH D,1
onto,IN,AA N T UW,79
milkweed,NN,M IH L K W IY D,1
harm,NN,HH AA R M,31
butterfly,NN,B AH T ER F L AY,21
Several,JJ,S EH V R AH L,107
groups,NNS,G R UW P S,284
later,RB,L EY T ER,1344
studied,VBN,S T AH D IY D,176
phenomenon,NN,F AH N AA M AH N AA N,30
laboratory,NN,L AE B R AH T AO R IY,32
resulting,VBG,R IH Z AH L T IH NG,114
assessment,NN,AH S EH S M AH N T,36
posed,VBN,P OW Z D,14
realworld,NN,,3
conditions,NNS,K AH N D IH SH AH N Z,129
negligible,JJ,N EH G L AH JH AH B AH L,5
2002,CD,,498
review,NN,R IY V Y UW,151
literature,NN,L IH T ER AH CH ER,116
largescale,NN,,18
cultivation,NN,K AH L T IH V EY SH AH N,25
